,354nm,388nm,500nm
160315,0.936,0.942,0.956
160316,0.936,0.942,0.956
160317,0.936,0.942,0.956
160318,0.936,0.942,0.956
160319,0.936,0.942,0.956
160320,0.936,0.942,0.956
160321,0.936,0.942,0.956
160322,0.965,0.969,0.976
160323,0.936,0.942,0.956
160324,0.936,0.942,0.956
160325,0.936,0.942,0.956
160326,0.936,0.942,0.956
160327,0.936,0.942,0.956
160328,0.936,0.942,0.956
160329,0.936,0.942,0.956
160330,0.936,0.942,0.956
160331,0.936,0.942,0.956
160401,0.936,0.942,0.956
160402,0.929,0.937,0.951
160403,0.929,0.937,0.951
160404,0.952,0.957,0.967
160405,0.945,0.951,0.962
160406,0.929,0.937,0.951
160407,0.929,0.937,0.951
160408,0.929,0.937,0.951
160409,0.929,0.937,0.951
160410,0.929,0.937,0.951
160411,0.95,0.955,0.966
160412,0.929,0.937,0.951
160413,0.929,0.937,0.951
160414,0.945,0.951,0.963
160415,0.929,0.937,0.951
160416,0.929,0.937,0.951
160417,0.929,0.937,0.951
160418,0.929,0.937,0.951
160419,0.929,0.937,0.951
160420,0.936,0.943,0.956
160421,0.933,0.94,0.953
160422,0.929,0.937,0.951
160423,0.929,0.937,0.951
160424,0.929,0.937,0.951
160425,0.929,0.937,0.951
160426,0.929,0.937,0.951
160427,0.942,0.948,0.961
160428,0.929,0.937,0.951
160429,0.909,0.918,0.935
160430,0.863,0.876,0.902
160501,0.887,0.898,0.919
160502,0.937,0.944,0.957
160503,0.952,0.957,0.967
160504,0.952,0.957,0.968
