Dates,354nm,388nm,500nm
2017-01-20,0.255,0.229,0.168
2017-01-21,,,
2017-01-22,,,
2017-01-23,0.273,0.257,0.221
2017-01-24,,,
2017-01-25,0.221,0.191,0.121
2017-01-26,,,
2017-01-27,0.121,0.106,0.07
2017-01-28,,,
2017-01-29,,,
2017-01-30,0.215,0.19,0.134
2017-01-31,,,
2017-02-01,0.224,0.197,0.133
2017-02-02,,,
2017-02-03,0.213,0.184,0.115
2017-02-04,,,
2017-02-05,0.225,0.194,0.121
2017-02-06,0.321,0.282,0.192
2017-02-07,0.243,0.21,0.133
2017-02-08,0.146,0.134,0.106
2017-02-09,,,
2017-02-10,0.101,0.088,0.057
2017-02-11,,,
2017-02-12,0.187,0.162,0.106
2017-02-13,0.739,0.638,0.405
2017-02-14,0.224,0.197,0.133
2017-02-15,0.279,0.244,0.16
2017-02-16,,,
2017-02-17,0.114,0.102,0.073
2017-02-18,,,
2017-02-19,,,
2017-02-20,0.239,0.218,0.167
2017-02-21,0.199,0.176,0.124
2017-02-22,,,
2017-02-23,,,
2017-02-24,0.154,0.143,0.115
2017-02-25,,,
2017-02-26,0.164,0.144,0.098
2017-02-27,,,
2017-02-28,0.305,0.264,0.167
2017-03-01,0.34,0.313,0.248
2017-03-02,,,
2017-03-03,,,
2017-03-04,,,
2017-03-05,0.164,0.145,0.1
2017-03-06,0.342,0.298,0.196
2017-03-07,,,
2017-03-08,0.657,0.566,0.354
2017-03-09,,,
2017-03-10,0.684,0.589,0.369
2017-03-11,,,
2017-03-12,,,
2017-03-13,,,
2017-03-14,,,
2017-03-15,,,
2017-03-16,,,
2017-03-17,0.522,0.457,0.306
2017-03-18,0.309,0.267,0.168
2017-03-19,0.355,0.311,0.207
2017-03-20,0.439,0.378,0.237
2017-03-21,0.172,0.151,0.102
2017-03-22,,,
2017-03-23,0.291,0.251,0.157
2017-03-24,0.451,0.414,0.327
2017-03-25,0.266,0.232,0.154
2017-03-26,,,
2017-03-27,0.378,0.336,0.238
2017-03-28,0.273,0.241,0.167
2017-03-29,0.495,0.455,0.358
2017-03-30,0.096,0.084,0.056
2017-03-31,,,
2017-04-01,0.233,0.208,0.147
2017-04-02,0.488,0.454,0.37
2017-04-03,0.197,0.176,0.125
2017-04-04,0.398,0.346,0.223
2017-04-05,0.479,0.424,0.293
2017-04-06,0.28,0.241,0.15
2017-04-07,,,
2017-04-08,0.166,0.146,0.1
2017-04-09,0.827,0.754,0.583
2017-04-10,0.319,0.28,0.191
2017-04-11,,,
2017-04-12,0.465,0.42,0.313
2017-04-13,0.544,0.468,0.293
2017-04-14,,,
2017-04-15,,,
2017-04-16,,,
2017-04-17,,,
2017-04-18,0.538,0.475,0.327
2017-04-19,0.417,0.368,0.253
2017-04-20,0.376,0.336,0.243
2017-04-21,0.509,0.45,0.311
2017-04-22,0.219,0.192,0.128
2017-04-23,0.326,0.282,0.178
2017-04-24,0.452,0.39,0.244
2017-04-25,1.0,0.904,0.678
2017-04-26,0.333,0.293,0.197
2017-04-27,,,
2017-04-28,0.386,0.346,0.251
2017-04-29,0.45,0.392,0.258
2017-04-30,0.416,0.382,0.303
2017-05-01,0.131,0.115,0.08
2017-05-02,,,
2017-05-03,0.335,0.292,0.192
2017-05-04,0.593,0.53,0.383
2017-05-05,0.201,0.181,0.135
2017-05-06,0.469,0.413,0.283
2017-05-07,1.141,0.984,0.618
2017-05-08,,,
2017-05-09,,,
2017-05-10,,,
2017-05-11,0.538,0.503,0.421
2017-05-12,0.295,0.255,0.161
2017-05-13,0.694,0.6,0.383
2017-05-14,0.371,0.32,0.201
2017-05-15,0.428,0.373,0.244
2017-05-16,0.636,0.549,0.344
2017-05-17,0.344,0.296,0.186
2017-05-18,,,
2017-05-19,0.476,0.411,0.258
2017-05-20,,,
2017-05-21,0.133,0.126,0.108
2017-05-22,,,
2017-05-23,,,
2017-05-24,0.251,0.221,0.151
2017-05-25,,,
2017-05-26,0.393,0.339,0.212
2017-05-27,1.037,0.925,0.663
2017-05-28,0.546,0.47,0.295
2017-05-29,,,
2017-05-30,,,
2017-05-31,0.287,0.248,0.155
2017-06-01,,,
2017-06-02,,,
2017-06-03,,,
2017-06-04,,,
2017-06-05,0.68,0.602,0.42
2017-06-06,0.337,0.291,0.182
2017-06-07,0.391,0.342,0.227
2017-06-08,0.28,0.241,0.15
2017-06-09,0.361,0.311,0.195
2017-06-10,,,
2017-06-11,0.321,0.276,0.173
2017-06-12,0.594,0.555,0.462
2017-06-13,0.378,0.328,0.211
2017-06-14,0.575,0.504,0.337
2017-06-15,0.348,0.31,0.22
2017-06-16,0.203,0.185,0.143
2017-06-17,0.382,0.336,0.228
2017-06-18,0.208,0.183,0.124
2017-06-19,,,
2017-06-20,,,
2017-06-21,0.646,0.577,0.417
2017-06-22,0.215,0.188,0.125
2017-06-23,0.385,0.338,0.226
2017-06-24,1.165,1.004,0.63
2017-06-25,,,
2017-06-26,,,
2017-06-27,,,
2017-06-28,0.417,0.383,0.302
2017-06-29,0.276,0.241,0.16
2017-06-30,,,
2017-07-01,0.563,0.486,0.305
2017-07-02,0.495,0.431,0.279
2017-07-03,0.435,0.378,0.246
2017-07-04,0.327,0.285,0.187
2017-07-05,,,
2017-07-06,,,
2017-07-07,1.156,0.996,0.625
2017-07-08,,,
2017-07-09,0.593,0.515,0.331
2017-07-10,0.58,0.5,0.314
2017-07-11,0.591,0.51,0.32
2017-07-12,,,
2017-07-13,,,
2017-07-14,0.585,0.522,0.374
2017-07-15,0.43,0.37,0.231
2017-07-16,0.662,0.571,0.36
2017-07-17,,,
2017-07-18,0.628,0.541,0.339
2017-07-19,0.551,0.475,0.299
